,time,temperature_2m,relative_humidity_2m,pressure_msl,wind_speed_10m,precipitation
0,2024-11-10T00:00,10.9,97,1025.9,4.7,0.0
1,2024-11-10T01:00,11.2,98,1025.9,4.2,0.0
2,2024-11-10T02:00,11.3,98,1025.8,3.9,0.0
3,2024-11-10T03:00,10.8,99,1025.7,3.5,0.0
4,2024-11-10T04:00,10.2,99,1025.9,5.8,0.0
5,2024-11-10T05:00,10.1,99,1026.1,5.0,0.0
6,2024-11-10T06:00,10.7,99,1026.5,3.8,0.0
7,2024-11-10T07:00,9.9,99,1026.8,2.4,0.0
8,2024-11-10T08:00,10.2,99,1027.4,4.2,0.0
9,2024-11-10T09:00,11.1,99,1027.9,1.4,0.0
10,2024-11-10T10:00,12.4,93,1028.2,2.2,0.0
11,2024-11-10T11:00,13.7,89,1028.3,1.4,0.0
12,2024-11-10T12:00,14.6,83,1028.1,1.8,0.0
13,2024-11-10T13:00,14.4,78,1027.9,3.5,0.0
14,2024-11-10T14:00,14.2,77,1027.8,4.9,0.0
15,2024-11-10T15:00,14.1,78,1028.1,5.6,0.0
16,2024-11-10T16:00,13.6,82,1028.4,3.6,0.0
17,2024-11-10T17:00,12.1,88,1029.0,4.4,0.0
18,2024-11-10T18:00,11.8,90,1029.6,6.6,0.0
19,2024-11-10T19:00,11.7,90,1030.1,8.5,0.0
20,2024-11-10T20:00,11.7,89,1030.8,8.6,0.0
21,2024-11-10T21:00,11.5,89,1031.7,8.6,0.0
22,2024-11-10T22:00,11.4,88,1032.0,6.9,0.0
23,2024-11-10T23:00,10.0,93,1031.9,6.0,0.0
24,2024-11-11T00:00,7.8,96,1031.6,7.4,0.0
25,2024-11-11T01:00,7.9,98,1032.1,4.6,0.0
26,2024-11-11T02:00,8.3,96,1032.6,8.0,0.0
27,2024-11-11T03:00,8.1,95,1033.0,6.8,0.0
28,2024-11-11T04:00,8.3,95,1033.4,5.6,0.0
29,2024-11-11T05:00,9.7,89,1033.7,5.2,0.0
30,2024-11-11T06:00,10.0,89,1033.8,3.6,0.0
31,2024-11-11T07:00,10.0,90,1034.1,4.2,0.0
32,2024-11-11T08:00,10.6,89,1034.8,8.0,0.0
33,2024-11-11T09:00,11.6,90,1035.0,6.3,0.0
34,2024-11-11T10:00,12.8,89,1034.8,7.3,0.0
35,2024-11-11T11:00,14.7,80,1034.7,18.0,0.0
36,2024-11-11T12:00,15.3,77,1034.2,18.6,0.0
37,2024-11-11T13:00,14.6,85,1034.0,17.0,0.1
38,2024-11-11T14:00,14.5,87,1033.7,16.8,0.2
39,2024-11-11T15:00,14.3,86,1033.7,12.3,0.1
40,2024-11-11T16:00,13.7,87,1033.9,10.3,0.0
41,2024-11-11T17:00,12.1,89,1034.3,11.7,0.0
42,2024-11-11T18:00,10.6,90,1034.6,13.2,0.0
43,2024-11-11T19:00,9.5,92,1035.1,12.4,0.0
44,2024-11-11T20:00,8.8,93,1035.5,13.1,0.0
45,2024-11-11T21:00,8.3,94,1035.9,11.5,0.0
46,2024-11-11T22:00,7.5,94,1035.7,9.4,0.0
47,2024-11-11T23:00,7.0,94,1035.2,9.3,0.0
48,2024-11-12T00:00,6.6,94,1034.8,9.5,0.0
49,2024-11-12T01:00,6.5,92,1034.6,10.6,0.0
50,2024-11-12T02:00,6.3,92,1034.6,11.2,0.0
51,2024-11-12T03:00,6.1,92,1034.4,11.6,0.0
52,2024-11-12T04:00,6.0,92,1034.2,11.0,0.0
53,2024-11-12T05:00,5.7,92,1033.6,10.3,0.0
54,2024-11-12T06:00,5.8,92,1033.4,11.8,0.0
55,2024-11-12T07:00,6.6,90,1033.0,14.7,0.0
56,2024-11-12T08:00,7.6,87,1032.8,17.3,0.0
57,2024-11-12T09:00,9.4,83,1032.7,19.6,0.0
58,2024-11-12T10:00,10.5,78,1032.2,22.3,0.0
59,2024-11-12T11:00,10.8,77,1031.4,19.6,0.1
60,2024-11-12T12:00,11.4,75,1030.0,21.6,0.0
61,2024-11-12T13:00,10.8,78,1029.5,16.0,0.1
62,2024-11-12T14:00,11.3,78,1028.7,19.4,0.0
63,2024-11-12T15:00,11.0,78,1028.5,21.1,0.0
64,2024-11-12T16:00,10.5,80,1028.8,18.5,0.0
65,2024-11-12T17:00,9.7,83,1029.0,17.3,0.0
66,2024-11-12T18:00,9.1,81,1029.6,17.3,0.0
67,2024-11-12T19:00,8.4,80,1030.1,17.1,0.0
68,2024-11-12T20:00,7.9,81,1030.3,16.4,0.0
69,2024-11-12T21:00,7.4,83,1030.8,16.8,0.0
70,2024-11-12T22:00,7.2,83,1031.1,17.3,0.0
71,2024-11-12T23:00,7.0,83,1031.2,16.5,0.0
72,2024-11-13T00:00,6.9,84,1030.9,14.0,0.0
73,2024-11-13T01:00,7.6,82,1031.1,14.9,0.0
74,2024-11-13T02:00,6.6,87,1031.0,14.5,0.0
75,2024-11-13T03:00,6.5,89,1031.0,14.7,0.0
76,2024-11-13T04:00,6.4,91,1031.0,14.1,0.0
77,2024-11-13T05:00,6.2,93,1031.2,12.7,0.0
78,2024-11-13T06:00,6.2,93,1031.6,11.9,0.0
79,2024-11-13T07:00,5.9,94,1032.2,13.3,0.0
80,2024-11-13T08:00,6.5,92,1032.5,14.1,0.0
81,2024-11-13T09:00,8.0,82,1032.6,14.8,0.0
82,2024-11-13T10:00,8.6,79,1032.9,15.9,0.0
83,2024-11-13T11:00,9.5,70,1032.6,19.4,0.0
84,2024-11-13T12:00,9.7,71,1032.2,19.2,0.0
85,2024-11-13T13:00,10.3,65,1031.9,19.2,0.0
86,2024-11-13T14:00,10.2,66,1031.5,18.0,0.0
87,2024-11-13T15:00,10.0,69,1031.3,13.8,0.0
88,2024-11-13T16:00,9.4,72,1031.3,12.5,0.0
89,2024-11-13T17:00,8.2,76,1031.7,13.9,0.0
90,2024-11-13T18:00,7.4,77,1032.0,14.4,0.0
91,2024-11-13T19:00,6.9,76,1032.6,15.0,0.0
92,2024-11-13T20:00,6.5,79,1032.5,12.6,0.0
93,2024-11-13T21:00,6.0,82,1032.7,11.7,0.0
94,2024-11-13T22:00,5.7,85,1032.8,11.7,0.0
95,2024-11-13T23:00,5.4,86,1032.7,11.1,0.0
96,2024-11-14T00:00,5.0,88,1032.4,10.3,0.0
97,2024-11-14T01:00,4.9,90,1032.0,10.5,0.0
98,2024-11-14T02:00,4.8,90,1031.9,10.9,0.0
99,2024-11-14T03:00,4.7,91,1031.7,10.2,0.0
100,2024-11-14T04:00,4.7,90,1031.5,8.0,0.0
101,2024-11-14T05:00,4.6,91,1031.2,7.5,0.0
102,2024-11-14T06:00,4.5,91,1031.1,6.7,0.0
103,2024-11-14T07:00,4.4,92,1031.3,7.8,0.0
104,2024-11-14T08:00,5.1,91,1031.3,7.1,0.0
105,2024-11-14T09:00,6.6,89,1031.5,8.0,0.0
106,2024-11-14T10:00,8.4,85,1031.4,5.5,0.0
107,2024-11-14T11:00,10.0,81,1031.1,6.5,0.0
108,2024-11-14T12:00,11.1,79,1030.4,6.9,0.0
109,2024-11-14T13:00,12.8,77,1030.1,10.3,0.0
110,2024-11-14T14:00,12.9,76,1029.7,12.1,0.0
111,2024-11-14T15:00,12.5,79,1029.4,8.7,0.0
112,2024-11-14T16:00,11.9,82,1029.1,6.1,0.0
113,2024-11-14T17:00,10.9,87,1028.9,7.0,0.0
114,2024-11-14T18:00,10.0,91,1028.9,8.3,0.0
115,2024-11-14T19:00,9.5,92,1029.2,8.4,0.0
116,2024-11-14T20:00,9.0,93,1029.4,8.3,0.0
117,2024-11-14T21:00,8.4,93,1029.5,8.9,0.0
118,2024-11-14T22:00,7.7,93,1029.6,9.6,0.0
119,2024-11-14T23:00,7.2,94,1029.3,10.0,0.0
120,2024-11-15T00:00,6.9,94,1028.9,10.0,0.0
121,2024-11-15T01:00,6.3,95,1028.8,9.5,0.0
122,2024-11-15T02:00,5.9,96,1028.5,8.5,0.0
123,2024-11-15T03:00,5.8,96,1028.3,9.0,0.0
124,2024-11-15T04:00,5.6,96,1028.2,9.2,0.0
125,2024-11-15T05:00,5.8,97,1028.1,8.8,0.0
126,2024-11-15T06:00,6.2,97,1027.8,8.3,0.0
127,2024-11-15T07:00,6.4,98,1027.7,7.4,0.0
128,2024-11-15T08:00,7.4,98,1027.8,8.2,0.0
129,2024-11-15T09:00,9.3,93,1027.7,10.6,0.0
130,2024-11-15T10:00,10.3,87,1027.4,14.1,0.1
131,2024-11-15T11:00,11.0,82,1027.2,11.8,0.1
132,2024-11-15T12:00,11.3,81,1026.5,9.8,0.1
133,2024-11-15T13:00,11.6,76,1026.2,7.8,0.0
134,2024-11-15T14:00,11.8,73,1025.7,8.8,0.0
135,2024-11-15T15:00,11.4,78,1025.4,8.0,0.0
136,2024-11-15T16:00,10.6,81,1025.1,8.8,0.0
137,2024-11-15T17:00,9.5,84,1025.0,9.5,0.0
138,2024-11-15T18:00,9.4,83,1025.0,8.6,0.0
139,2024-11-15T19:00,8.6,85,1025.1,8.0,0.0
140,2024-11-15T20:00,8.2,85,1025.0,8.5,0.0
141,2024-11-15T21:00,7.7,83,1024.9,8.7,0.0
142,2024-11-15T22:00,6.9,84,1024.5,8.2,0.0
143,2024-11-15T23:00,6.1,87,1024.4,7.6,0.0
144,2024-11-16T00:00,5.2,89,1024.3,6.4,0.0
145,2024-11-16T01:00,5.2,89,1023.7,6.5,0.0
146,2024-11-16T02:00,4.8,90,1023.4,5.6,0.0
147,2024-11-16T03:00,4.4,92,1023.0,5.8,0.0
148,2024-11-16T04:00,4.0,93,1022.7,6.2,0.0
149,2024-11-16T05:00,3.5,94,1022.7,5.5,0.0
150,2024-11-16T06:00,3.2,95,1022.6,7.4,0.0
